,sp500,gas
1982-09-14,,
1982-09-15,,
1982-09-16,,
1982-09-17,,
1982-09-20,,
1982-09-21,,
1982-09-22,,
1982-09-23,,
1982-09-24,,
1982-09-27,,
1982-09-28,,
1982-09-29,,
1982-09-30,,
1982-10-01,,
1982-10-04,,
1982-10-05,,
1982-10-06,,
1982-10-07,,
1982-10-08,,
1982-10-11,,
1982-10-12,,
1982-10-13,,
1982-10-14,,
1982-10-15,,
1982-10-18,,
1982-10-19,,
1982-10-20,,
1982-10-21,,
1982-10-22,,
1982-10-25,,
1982-10-26,,
1982-10-27,,
1982-10-28,,
1982-10-29,,
1982-11-01,,
1982-11-02,,
1982-11-03,,
1982-11-04,,
1982-11-05,,
1982-11-08,,
1982-11-09,,
1982-11-10,,
1982-11-11,,
1982-11-12,,
1982-11-15,,
1982-11-16,,
1982-11-17,,
1982-11-18,,
1982-11-19,,
1982-11-22,,
1982-11-23,,
1982-11-24,,
1982-11-25,,
1982-11-26,,
1982-11-29,,
1982-11-30,,
1982-12-01,-2.3879649562768512,
1982-12-02,-2.721170894480293,
1982-12-03,-2.6892665523058614,
1982-12-06,-2.831450515159104,
1982-12-07,-2.761895575109854,
1982-12-08,-2.663776236639514,
1982-12-09,-2.523182173158292,
1982-12-10,-2.2780943362006756,
1982-12-13,-2.2972205754998583,
1982-12-14,-2.3022954768794675,
1982-12-15,-2.313666468669457,
1982-12-16,-2.3293189450133465,
1982-12-17,-2.335438156043368,
1982-12-20,-2.346545880989468,
1982-12-21,-2.339684987140907,
1982-12-22,-2.3395243700192543,
1982-12-23,-2.342713445816904,
1982-12-24,-2.342713445816904,
1982-12-27,-2.3327222755473116,
1982-12-28,-2.327368163177847,
1982-12-29,-2.3262664099557786,
1982-12-30,-2.3295440413426904,
1982-12-31,-2.3357710088111125,
1983-01-03,-2.343194268662526,
1983-01-04,-2.339888075935105,
1983-01-05,-2.3407739621953176,
1983-01-06,-2.3309735447348907,
1983-01-07,-2.3263260729964115,
1983-01-10,-2.323181982760101,
1983-01-11,-2.3242957084876674,
1983-01-12,-2.329062978375681,
1983-01-13,-2.336973207588304,
1983-01-14,-2.3477950939198737,
1983-01-17,-2.360888189201632,
1983-01-18,-2.376423912454473,
1983-01-19,-2.3918554713884506,
1983-01-20,-2.4064702539917726,
1983-01-21,-2.4151297375335123,
1983-01-24,-2.425741781665576,
1983-01-25,-2.4381946167380137,
1983-01-26,-2.4534846017360565,
1983-01-27,-2.4510867008607975,
1983-01-28,-2.453275896364192,
1983-01-31,-2.454761209320807,
1983-02-01,-2.4528973785630415,
1983-02-02,-2.45377360182439,
1983-02-03,-2.4569636743820507,
1983-02-04,-2.451455659286025,
1983-02-07,-2.4502039235299358,
1983-02-08,-2.45089404833812,
1983-02-09,-2.455282442168456,
1983-02-10,-2.4490868812957194,
1983-02-11,-2.4471408474024563,
1983-02-14,-2.4443976700088856,
1983-02-15,-2.4448936346855774,
1983-02-16,-2.448976071515111,
1983-02-17,-2.4550252350468194,
1983-02-18,-2.4638146952984314,
1983-02-21,-2.4638146952984314,
1983-02-22,-2.4717199730763966,
1983-02-23,-2.4750392743534833,
1983-02-24,-2.471707396894958,
1983-02-25,-2.4728019186575305,
1983-02-28,-2.4765764935915877,
1983-03-01,-2.4727693616380297,
1983-03-02,-2.6204851070325432,
1983-03-03,-2.74236567744555,
1983-03-04,-2.854723909235344,
1983-03-07,-2.9366488920016605,
1983-03-08,-2.986329673897522,
1983-03-09,-2.9843076559384434,
1983-03-10,-2.9167381039181293,
1983-03-11,-2.850219154442761,
1983-03-14,-2.795154251924062,
1983-03-15,-2.7505486807912956,
1983-03-16,-2.7094491598811956,
1983-03-17,-2.6765746165499813,
1983-03-18,-2.649070997001912,
1983-03-21,-2.6231099728984026,
1983-03-22,-2.6029522886281127,
1983-03-23,-2.575326139215349,
1983-03-24,-2.5535694147802617,
1983-03-25,-2.5358634544092733,
1983-03-28,-2.5228569175223954,
1983-03-29,-2.5140102897387666,
1983-03-30,-2.502849015463781,
1983-03-31,-2.4917147457939652,
1983-04-01,-2.4917147457939652,
1983-04-04,-2.481190728167158,
1983-04-05,-2.4743423793310444,
1983-04-06,-2.471404214462807,
1983-04-07,-2.4708875809072035,
1983-04-08,-2.4730950895497594,
1983-04-11,-2.4647161512434055,
1983-04-12,-2.459596447646517,
1983-04-13,-2.456879521753041,
1983-04-14,-2.4524094867750486,
1983-04-15,-2.4510718349029297,
1983-04-18,-2.4515575350355046,
1983-04-19,-2.453620320951533,
1983-04-20,-2.4522455360467355,
1983-04-21,-2.453508032343548,
1983-04-22,-2.45726668324575,
1983-04-25,-2.4608185763322212,
1983-04-26,-2.4498172289194033,
1983-04-27,-2.4427518919963176,
1983-04-28,-2.437246970572265,
1983-04-29,-2.434110560357954,
1983-05-02,-2.432563382625089,
1983-05-03,-2.433761542575016,
1983-05-04,-2.4363012546581944,
1983-05-05,-2.440682223421191,
1983-05-06,-2.4399155415353353,
1983-05-09,-2.44144937063816,
1983-05-10,-2.445345151311679,
1983-05-11,-2.449890647267966,
1983-05-12,-2.455852541843752,
1983-05-13,-2.4632075537125986,
1983-05-16,-2.4696690133485903,
1983-05-17,-2.478092615610753,
1983-05-18,-2.4862380737642993,
1983-05-19,-2.4960573879315646,
1983-05-20,-2.5079931342157313,
1983-05-23,-2.514238424748387,
1983-05-24,-2.515428495188001,
1983-05-25,-2.5187016450426594,
1983-05-26,-2.5240234997018547,
1983-05-27,-2.5315905781031174,
1983-05-30,-2.5315905781031174,
1983-05-31,-2.5282674826802656,
