,sp500,gas
1983-04-21,-2.4535080323435405,
1983-04-22,-2.4572666832457424,
1983-04-25,-2.4608185763322137,
1983-04-26,-2.449817228919395,
1983-04-27,-2.4427518919963096,
1983-04-28,-2.4372469705722573,
1983-04-29,-2.4341105603579463,
1983-05-02,-2.4325633826250814,
1983-05-03,-2.433761542575009,
1983-05-04,-2.436301254658187,
1983-05-05,-2.440682223421184,
1983-05-06,-2.4399155415353286,
1983-05-09,-2.441449370638153,
1983-05-10,-2.4453451513116726,
1983-05-11,-2.44989064726796,
1983-05-12,-2.4558525418437456,
1983-05-13,-2.463207553712593,
1983-05-16,-2.4696690133485846,
1983-05-17,-2.4780926156107466,
1983-05-18,-2.486238073764293,
1983-05-19,-2.496057387931559,
1983-05-20,-2.507993134215725,
1983-05-23,-2.514238424748382,
1983-05-24,-2.5154284951879964,
1983-05-25,-2.518701645042656,
1983-05-26,-2.524023499701851,
1983-05-27,-2.5315905781031147,
1983-05-30,-2.5315905781031147,
1983-05-31,-2.528267482680264,
1983-06-01,-2.527581248448996,
1983-06-02,-2.667421465764571,
1983-06-03,-2.7921057868613497,
1983-06-06,-2.9312678852336016,
1983-06-07,-2.9269901618453558,
1983-06-08,-2.8621789024503452,
1983-06-09,-2.86246545867745,
1983-06-10,-2.8800560035785665,
1983-06-13,-2.9486170062739054,
1983-06-14,-3.012922220186161,
1983-06-15,-3.0568459236594845,
1983-06-16,-3.0949769549650585,
1983-06-17,-3.1342975938979216,
1983-06-20,-3.174114178987791,
1983-06-21,-3.208269136454624,
1983-06-22,-3.243095951516857,
1983-06-23,-3.2798644540265696,
1983-06-24,-3.3175389950761267,
1983-06-27,-3.3527989464758714,
1983-06-28,-3.384242188899174,
1983-06-29,-3.412572243901003,
1983-06-30,-3.4398740359414637,
1983-07-01,-3.470508299070776,
1983-07-04,-3.470508299070776,
1983-07-05,-3.4938535548588847,
1983-07-06,-3.5077710888763742,
1983-07-07,-3.5237025270059523,
1983-07-08,-3.544315228915513,
1983-07-11,-3.56773144588472,
1983-07-12,-3.5848961002101425,
1983-07-13,-3.604980216155214,
1983-07-14,-3.6287151211846456,
1983-07-15,-3.6521172438610927,
1983-07-18,-3.678572794874151,
1983-07-19,-3.704780534727432,
1983-07-20,-3.697547614792516,
1983-07-21,-3.6966307484574354,
1983-07-22,-3.7016325526351324,
1983-07-25,-3.7092817095618487,
1983-07-26,-3.7220057051210627,
1983-07-27,-3.727588713634444,
1983-07-28,-3.7303004660704526,
1983-07-29,-3.736990953305164,
1983-08-01,-3.749938991032233,
1983-08-02,-3.767613058625654,
1983-08-03,-3.782747495772827,
1983-08-04,-3.793949641201934,
1983-08-05,-3.8033449183627823,
1983-08-08,-3.8148453952830566,
1983-08-09,-3.8269936955353256,
1983-08-10,-3.838402715470926,
1983-08-11,-3.8546543342175146,
1983-08-12,-3.8720188119368246,
1983-08-15,-3.8893848947178538,
1983-08-16,-3.911327794035331,
1983-08-17,-3.9291070671819073,
1983-08-18,-3.9458334213450734,
1983-08-19,-3.9613589510549936,
1983-08-22,-3.981774782118073,
1983-08-23,-4.004594210853233,
1983-08-24,-4.028530803756669,
1983-08-25,-4.055407369376484,
1983-08-26,-4.079754958326539,
1983-08-29,-4.1054101936622365,
1983-08-30,-4.134813313298141,
1983-08-31,-4.154224987103197,
1983-09-01,-4.1783030326309625,
1983-09-02,-4.292167507923332,
1983-09-05,-4.292167507923332,
1983-09-06,-4.340433182292093,
1983-09-07,-4.450329980303855,
1983-09-08,-4.628777874331704,
1983-09-09,-4.727378946040398,
1983-09-12,-4.797099117648937,
1983-09-13,-4.863201304640548,
1983-09-14,-4.928966929876993,
1983-09-15,-4.99540115597093,
1983-09-16,-5.035170904298093,
1983-09-19,-5.07381563202894,
1983-09-20,-5.112788885864444,
1983-09-21,-5.156610162346904,
1983-09-22,-5.201143797336107,
1983-09-23,-5.2502134107942675,
1983-09-26,-5.303518709532737,
1983-09-27,-5.355744153581321,
1983-09-28,-5.411914280719676,
1983-09-29,-5.471023816617369,
1983-09-30,-5.529105988195108,
1983-10-03,-5.590230952562516,
1983-10-04,-5.65473187854471,
1983-10-05,-5.703067772581034,
1983-10-06,-5.735300405329292,
1983-10-07,-5.774197222395033,
1983-10-10,-5.7985336840820585,
1983-10-11,-5.803392531646428,
1983-10-12,-5.817778775971845,
1983-10-13,-5.835994722668201,
1983-10-14,-5.862336644991506,
1983-10-17,-5.891198736722118,
1983-10-18,-5.900682854261318,
1983-10-19,-5.914306995726937,
1983-10-20,-5.934577438430103,
1983-10-21,-5.959852315177294,
1983-10-24,-5.988273674203012,
1983-10-25,-6.02395004393934,
1983-10-26,-6.06191512296008,
1983-10-27,-6.103649820740636,
1983-10-28,-6.140382699636129,
1983-10-31,-6.182266065546988,
1983-11-01,-6.2284061428101465,
1983-11-02,-6.26626583514588,
1983-11-03,-6.300889651356611,
1983-11-04,-6.3419222402004305,
1983-11-07,-6.389268628061525,
1983-11-08,-6.438584463232489,
1983-11-09,-6.449534446288845,
1983-11-10,-6.4686702636779305,
1983-11-11,-6.4753964786781095,
1983-11-14,-6.492031904170392,
1983-11-15,-6.51256365459384,
1983-11-16,-6.540502291537812,
1983-11-17,-6.574023445488821,
1983-11-18,-6.614146486131405,
1983-11-21,-6.6470228829780185,
1983-11-22,-6.68648561710856,
1983-11-23,-6.730370661427272,
1983-11-24,-6.730370661427272,
1983-11-25,-6.730370661427272,
1983-11-28,-6.776697988185643,
1983-11-29,-6.79158738949251,
1983-11-30,-6.784670937978334,
1983-12-01,-6.781029236505534,
1983-12-02,-7.029541829140088,
1983-12-05,-7.225802588296528,
1983-12-06,-7.495263504182156,
1983-12-07,-7.716851856632168,
1983-12-08,-7.846265317236815,
1983-12-09,-7.976797417786949,
1983-12-12,-8.130248197541553,
1983-12-13,-8.263821143362943,
1983-12-14,-8.387656323331392,
1983-12-15,-8.510576034299445,
1983-12-16,-8.609846544855289,
1983-12-19,-8.715437016227305,
1983-12-20,-8.827763857926083,
1983-12-21,-8.891961165998213,
1983-12-22,-8.966734799915482,
1983-12-23,-9.050400693972493,
1983-12-26,-9.050400693972493,
1983-12-27,-9.13270074055901,
1983-12-28,-9.2243068401722,
1983-12-29,-9.324076257379277,
1983-12-30,-9.429066942399206,
1984-01-02,-9.429066942399206,
1984-01-03,-9.524307550093546,
1984-01-04,-9.49559492794327,
1984-01-05,-9.478713037967406,
1984-01-06,-9.481591426296346,
1984-01-09,-9.503836770104686,
1984-01-10,-9.537205415273519,
1984-01-11,-9.584700442488078,
1984-01-12,-9.643428418302681,
1984-01-13,-9.711672687038957,
1984-01-16,-9.785784550583166,
1984-01-17,-9.856018390596997,
1984-01-18,-9.932461818819592,
1984-01-19,-10.012225072500069,
1984-01-20,-10.089178407510662,
1984-01-23,-10.166646703094155,
1984-01-24,-10.239511362874437,
1984-01-25,-10.313488701245424,
1984-01-26,-10.395806975691395,
1984-01-27,-10.483602156358144,
1984-01-30,-10.573453957783391,
1984-01-31,-10.667599118602844,
1984-02-01,-10.769855852356647,
1984-02-02,-10.86496876968867,
1984-02-03,-10.826573142685557,
1984-02-06,-10.790121907951887,
1984-02-07,-10.76755325952028,
1984-02-08,-10.69508708385643,
1984-02-09,-10.6400486386193,
1984-02-10,-10.604500529340504,
1984-02-13,-10.590480476351464,
1984-02-14,-10.543898321321711,
1984-02-15,-10.521558697027464,
1984-02-16,-10.512373618852273,
1984-02-17,-10.522025789949089,
1984-02-20,-10.522025789949089,
1984-02-21,-10.549110904050083,
1984-02-22,-10.592356577205855,
1984-02-23,-10.63585193661291,
1984-02-24,-10.557502184627532,
1984-02-27,-10.50378216588481,
1984-02-28,-10.453471332307846,
1984-02-29,-10.426760464652379,
1984-03-01,-10.393057146458823,
1984-03-02,-10.35584786834732,
1984-03-05,-10.3364442438513,
1984-03-06,-10.302457161967498,
1984-03-07,-10.301083555792056,
1984-03-08,-10.319230865913212,
1984-03-09,-10.3824868494695,
1984-03-12,-10.488382420205106,
1984-03-13,-10.58491840287514,
1984-03-14,-10.681882880565905,
1984-03-15,-10.765403970003018,
1984-03-16,-10.849715738157123,
1984-03-19,-10.937893777069329,
1984-03-20,-11.027884542693002,
1984-03-21,-11.12595497177798,
1984-03-22,-11.220957179808796,
1984-03-23,-11.324118782324257,
1984-03-26,-11.43283322168212,
1984-03-27,-11.533669063854685,
1984-03-28,-11.573113437869207,
1984-03-29,-11.615996808501219,
1984-03-30,-11.671440408798727,
1984-04-02,-11.73365581231727,
1984-04-03,-11.806876604923152,
1984-04-04,-11.891064696288783,
1984-04-05,-11.904322474646074,
1984-04-06,-11.916512564885466,
1984-04-09,-11.945370709217597,
1984-04-10,-11.98820512793084,
1984-04-11,-12.035684436135694,
1984-04-12,-11.972554596542588,
1984-04-13,-11.935033007561897,
1984-04-16,-11.89427352301547,
1984-04-17,-11.877149653472536,
1984-04-18,-11.874776356589557,
1984-04-19,-11.890106640138805,
1984-04-20,-11.890106640138805,
1984-04-23,-11.916965512031588,
1984-04-24,-11.931392458045154,
1984-04-25,-11.95422646429771,
1984-04-26,-11.9781881672028,
